event_date, interface_type, app_version, num_visit, num_search, num_product_viewed, num_add_to_cart, num_checkout, num_payment_selected, num_booking_created, num_session_visit, num_session_search, num_session_product_viewed, num_session_add_to_cart, num_session_checkout, num_session_payment_selected, num_session_booking_created
2019-02-26,ANDROID,2.5.0,30,44,10,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,ANDROID,2.5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,ANDROID,2.5.2,25,22,13,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,ANDROID,2.5.3,122,110,37,17,0,0,0,0,0,0,0,0,0,0
2019-02-26,ANDROID,2.6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,ANDROID,2.6.1,154,138,43,14,2,3,2,0,0,0,0,0,0,0
2019-02-26,ANDROID,2.7.0,0,0,0,0,0,0,0,96,105,23,13,5,6,2
2019-02-26,ANDROID,2.7.1,0,0,0,0,0,0,0,2320,2444,580,400,65,38,29
2019-02-26,ANDROID,2.7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,ANDROID,2.8.0,0,0,0,0,0,0,0,371,406,114,57,14,9,8
2019-02-26,ANDROID,2.8.0.Debug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,ANDROID,2.9.0.Debug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,IOS,1.10.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,IOS,1.9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,IOS,2.0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,IOS,2.0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,IOS,2.0.2,29,10,2,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,IOS,2.1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,IOS,2.1.1,10,4,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,IOS,2.2.0,8,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,IOS,2.3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,IOS,2.3.1,6,4,2,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,IOS,2.4.0,6,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,IOS,2.5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,IOS,2.5.1,16,6,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,IOS,2.5.2,37,25,11,1,0,0,0,0,0,0,0,0,0,0
2019-02-26,IOS,2.5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,IOS,2.6.0,27,9,2,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,IOS,2.6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,IOS,2.7.0,0,0,0,0,0,0,0,26,18,10,18,1,3,1
2019-02-26,IOS,2.7.1,0,0,0,0,0,0,0,6,3,0,0,0,0,0
2019-02-26,IOS,2.7.2,0,0,0,0,0,0,0,714,375,100,74,15,12,6
2019-02-26,IOS,2.8.0,0,0,0,0,0,0,0,345,198,62,58,9,6,4
2019-02-26,IOS,2.8.0.Debug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,IOS,2.9.0.Debug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,ANDROID,1.10.0,49,47,11,2,0,0,0,0,0,0,0,0,0,0
2019-02-27,ANDROID,1.9.0,5,5,2,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,ANDROID,2.0.0,6,5,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,ANDROID,2.0.1,8,5,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,ANDROID,2.0.2,46,36,4,3,0,0,0,0,0,0,0,0,0,0
2019-02-27,ANDROID,2.1.0,5,3,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,ANDROID,2.1.1,23,13,4,1,0,0,0,0,0,0,0,0,0,0
2019-02-27,ANDROID,2.2.0,23,21,3,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,ANDROID,2.3.0,7,10,2,2,0,0,0,0,0,0,0,0,0,0
2019-02-27,ANDROID,2.3.1,47,55,4,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,ANDROID,2.4.0,28,25,8,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,ANDROID,2.5.0,25,22,3,4,1,1,1,0,0,0,0,0,0,0
2019-02-27,ANDROID,2.5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,ANDROID,2.5.2,28,18,1,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,ANDROID,2.5.3,153,158,34,3,0,0,0,0,0,0,0,0,0,0
2019-02-27,ANDROID,2.6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,ANDROID,2.6.1,169,136,35,32,3,2,1,0,0,0,0,0,0,0
2019-02-27,ANDROID,2.7.0,0,0,0,0,0,0,0,133,189,58,42,2,2,2
2019-02-27,ANDROID,2.7.1,0,0,0,0,0,0,0,2196,2254,486,310,67,38,29
2019-02-27,ANDROID,2.7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,ANDROID,2.8.0,0,0,0,0,0,0,0,474,460,83,40,4,4,4
